clade_name	EFP1	EFP2	EFP3	EFP4	EK1	EK2	EK3	EK4	EHH1	EHH2	EHH3	EHH4	BM1	BM2	BM3	BM4	GS1	GS2	GS3	GS4	GN1
Lactobacillales	0.64057	0.18125	0.31365	0.40754	0.75785	0.75047	0.288	0.23205	0.15019	0.24116	0.58582	0.02747	0.0	0.01125	0.0	0.0	0.0	1.33129	0.05814	0.0944	0.01812
OFGB38303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01074	0.0	0.0	0.0	0.00495	0.0	0.00054	0.0
OFGB90859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01054	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OFGB27129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00916	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OFGB78710	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00762	0.0	0.0	0.0	0.0	0.13706	0.0	0.0
OFGB78719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00734	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OFGB1777	0.01448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01752	0.02246	0.0	0.0	0.0053	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OFGB8085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00524	0.00063	0.0	0.0	0.0	0.0	0.0	0.0
OFGB75704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00494	0.0049	0.00104	0.0	0.0	0.0	0.0	0.0
OFGB30279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00438	0.00145	0.00028	0.0228	0.11769	0.18007	0.02485	0.0
Propionibacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08063	0.0	0.0	0.0	0.0	0.004	0.00617	0.0	0.0	0.00725	0.02118	0.0	0.0
