Contig	EFP1	EFP2	EFP3	EFP4	EK1	EK2	EK3	EK4	EHH1	EHH2	EHH3	EHH4	BM1	BM2	BM3	BM4	GS1	GS2	GS3	GS4	GN1
BM1_k141_1035166	0	0	0	0	0	0	0	0	0	0	0	0	11	0	2	0	0	0	0	0	0
BM1_k141_1035196	0	0	0	0	0	0	0	0	0	0	0	0	19	9	0	0	0	0	0	0	0
BM1_k141_1036027	0	0	0	0	0	0	0	0	0	0	0	0	9	15	0	0	0	0	0	0	0
BM1_k141_1036139	0	0	0	0	0	0	0	0	0	0	0	0	22	4	3	5	0	0	0	0	0
BM1_k141_1036297	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0
BM1_k141_103636	0	0	0	0	0	0	0	0	0	0	0	0	8	0	2	2	0	0	0	0	0
BM1_k141_1036597	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
BM1_k141_1036851	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
BM1_k141_1037041	0	0	0	0	0	0	0	0	0	0	0	0	10	34	2	0	0	0	0	0	0
BM1_k141_1037065	0	0	0	0	0	0	0	0	0	0	0	0	44	0	15	52	0	0	0	0	0
BM1_k141_1037185	0	0	0	0	0	0	0	0	0	0	0	0	18	0	14	12	0	0	0	0	0
BM1_k141_103722	0	0	0	0	0	0	0	0	0	0	0	0	11	4	1	0	0	0	0	0	0
